City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bambous virieux,90,MU,1519027200,74,-20.34,57.76,86.0,8.05
1,bluff,64,NZ,1519030722,100,-46.6,168.33,57.57,19.64
2,katherine,36,AU,1519029000,59,-14.47,132.26,89.6,8.05
3,presidencia roque saenz pena,24,AR,1519030723,97,-26.79,-60.44,69.27,5.55
4,albany,92,AU,1519030724,85,-35.02,117.88,63.87,18.07
5,ichhawar,8,IN,1519027200,22,23.03,77.02,86.0,5.82
6,longyearbyen,75,SJ,1519028400,78,78.22,15.64,15.8,2.24
7,rikitea,56,PF,1519030726,100,-23.12,-134.97,79.94,11.03
8,beringovskiy,92,RU,1519030726,93,63.05,179.32,30.71,28.36
9,ixtapa,75,MX,1519026060,100,20.71,-105.21,71.6,2.08
10,killybegs,92,IE,1519030727,95,54.63,-8.45,47.58,9.13
11,esperance,92,AU,1519030727,98,-33.86,121.89,70.98,11.14
12,sobolevo,88,RU,1519030727,92,54.43,31.9,22.92,10.8
13,isangel,64,VU,1519030728,95,-19.55,169.27,83.27,6.67
14,yumbing,24,PH,1519030728,82,9.24,124.66,81.74,10.69
15,punta arenas,40,CL,1519027200,75,-53.16,-70.91,46.4,6.93
16,mangai,92,CD,1519030729,100,-4.07,19.59,70.62,2.64
17,hilo,1,US,1519030080,87,19.71,-155.08,66.2,6.55
18,ancud,8,CL,1519030729,86,-41.87,-73.83,41.06,2.53
19,yellowknife,90,CA,1519027200,76,62.45,-114.38,-4.01,6.93
20,kaitangata,68,NZ,1519030730,65,-46.28,169.85,54.29,15.17
21,xichang,0,CN,1519030730,16,27.88,102.25,65.27,4.54
22,cidreira,44,BR,1519030730,89,-30.17,-50.22,70.67,8.12
23,jamestown,8,SH,1519030731,100,-15.94,-5.72,72.38,14.27
24,cape town,20,ZA,1519027200,64,-33.93,18.42,73.4,16.11
25,burnie,0,AU,1519030732,100,-41.05,145.91,64.55,11.59
26,atuona,8,PF,1519030733,99,-9.8,-139.03,81.15,13.27
27,kapaa,1,US,1519026960,88,22.08,-159.32,66.2,8.05
28,severo-kurilsk,56,RU,1519030734,100,50.68,156.12,22.7,14.83
29,marfino,90,RU,1519027200,92,56.07,37.56,26.6,4.47
30,chuy,36,UY,1519030735,85,-33.69,-53.46,72.42,12.48
31,carnarvon,0,AU,1519030735,82,-24.87,113.63,79.58,24.79
32,qaanaaq,0,GL,1519030736,91,77.48,-69.36,-7.73,0.96
33,nikolskoye,75,RU,1519027200,92,59.7,30.79,21.2,8.95
34,tiksi,76,RU,1519030441,76,71.64,128.87,-11.96,6.22
35,tasiilaq,88,GL,1519030736,89,65.61,-37.64,31.79,53.53
36,hobyo,20,SO,1519030737,81,5.35,48.53,80.97,9.57
37,gisborne,56,NZ,1519030737,67,-38.66,178.02,73.82,10.8
38,derzhavinsk,32,KZ,1519030738,90,51.1,66.31,15.72,7.56
39,dikson,64,RU,1519030738,100,73.51,80.55,-10.02,15.84
40,kutum,0,SD,1519030738,37,14.2,24.66,77.28,7.78
41,geraldton,0,AU,1519027200,61,-28.77,114.6,78.8,28.86
42,saint george,90,BM,1519026900,72,32.38,-64.68,64.4,12.75
43,nsanje,56,MW,1519030740,81,-16.92,35.26,87.59,4.43
44,maragogi,24,BR,1519030740,100,-9.01,-35.22,71.48,2.19
45,leningradskiy,56,RU,1519030741,92,69.38,178.42,12.17,7.11
46,trelew,0,AR,1519030741,31,-43.25,-65.31,60.41,15.84
47,sal rei,75,CV,1519027200,82,16.18,-22.92,66.2,13.87
48,beira,92,MZ,1519030742,100,-19.84,34.84,73.77,7.0
49,skibbereen,75,IE,1519029000,100,51.55,-9.27,46.4,6.93
50,honningsvag,90,NO,1519026600,86,70.98,25.97,26.6,4.7
51,rio grande,20,BR,1519030744,97,-32.03,-52.1,70.67,8.46
52,alice springs,90,AU,1519028760,20,-23.7,133.88,98.6,19.46
53,ushuaia,75,AR,1519027200,81,-54.81,-68.31,46.4,24.16
54,norman wells,20,CA,1519027200,61,65.28,-126.83,12.2,18.34
55,jacareacanga,20,BR,1519030745,92,-6.22,-57.76,73.37,2.53
56,hermanus,0,ZA,1519030745,59,-34.42,19.24,74.81,3.42
57,puerto carreno,8,CO,1519030746,76,6.19,-67.49,68.78,4.65
58,knysna,20,ZA,1519029840,64,-34.04,23.05,75.2,8.05
59,pisco,0,PE,1519027200,83,-13.71,-76.2,69.8,3.36
60,yulara,80,AU,1519027200,27,-25.24,130.99,98.6,8.05
61,busselton,0,AU,1519030747,100,-33.64,115.35,69.5,25.34
62,hithadhoo,0,MV,1519030748,100,-0.6,73.08,83.4,5.21
63,morro bay,75,US,1519026960,61,35.37,-120.85,48.2,3.36
64,kodiak,90,US,1519030380,100,39.95,-94.76,53.6,17.22
65,inirida,80,CO,1519030749,96,3.87,-67.92,73.5,2.08
66,bathsheba,20,BB,1519027200,69,13.22,-59.52,75.2,24.16
67,kirsanov,80,RU,1519030750,97,52.65,42.73,24.59,8.23
68,ballina,8,AU,1519030750,98,-28.87,153.57,77.15,13.71
69,puerto ayora,56,EC,1519030751,100,-0.74,-90.35,74.36,4.21
70,lotofaga,20,WS,1519027200,94,-13.98,-171.86,78.8,7.67
71,avarua,20,CK,1519027200,88,-21.21,-159.78,75.2,1.12
72,bud,0,NO,1519028400,80,62.91,6.91,35.6,9.17
73,georgetown,0,SH,1519030753,100,-7.93,-14.42,77.55,15.5
74,port lincoln,36,AU,1519030754,79,-34.72,135.86,71.52,14.61
75,chinsali,0,ZM,1519030754,59,-10.55,32.07,83.45,7.11
76,ampanihy,0,MG,1519030754,39,-24.69,44.75,95.69,6.11
77,east london,20,ZA,1519027200,83,-33.02,27.91,71.6,10.29
78,altamira,92,BR,1519030755,99,-3.2,-52.21,73.37,1.74
79,teguldet,80,RU,1519030755,67,57.31,88.17,7.94,8.46
80,praia,75,CV,1519027200,77,14.92,-23.51,68.0,16.11
81,balaipungut,36,ID,1519030756,87,1.11,101.31,84.93,3.09
82,santa maria,75,CV,1519027200,77,16.6,-22.9,66.2,13.87
83,port alfred,80,ZA,1519030757,89,-33.59,26.89,71.75,6.11
84,clyde river,75,CA,1519027620,74,70.47,-68.59,-27.41,8.05
85,liverpool,0,CA,1519030757,99,44.04,-64.71,30.57,3.2
86,shimoda,44,JP,1519030758,100,34.7,138.93,51.18,7.23
87,wau,68,PG,1519030758,100,-7.34,146.72,74.67,1.97
88,yar-sale,68,RU,1519030758,93,66.83,70.83,3.53,15.05
89,khatanga,8,RU,1519030759,65,71.98,102.47,-34.68,4.99
